Group,Prior,Loading,Quality
1,0.582431029,0.877343504,Poor
2,0.368602762,0.831039748,Poor
3,0.587036366,0.717179979,Poor
4,0.274957054,0.828705904,Poor
5,0.768984895,0.938564259,Poor
6,0.548112838,0.663711806,Poor
7,0.226562034,0.520794892,Poor
8,0.663348043,0.630726293,Poor
9,0.136343272,0.363044976,Poor
10,0.640193858,0.68696261,Poor
11,0.485132388,0.811619526,Poor
12,0.737054287,0.855395036,Poor
13,0.427280137,0.689866213,Poor
14,0.557518184,0.858446485,Poor
15,0.254892692,0.655513333,Poor
16,0.639144888,0.700005163,Poor
17,0.894960407,0.796164187,Poor
18,0.510346969,0.544612126,Poor
19,0.692028084,0.851644275,Poor
20,0.554352325,0.813693163,Poor
21,0.080223331,0.830814526,Poor
22,0.397796886,0.47041382,Poor
23,0.080963464,0.564743282,Poor
24,0.084776051,0.329593675,Poor
25,0.224503912,0.615990275,Poor
26,0.512790582,0.856379934,Poor
27,0,0.639037347,Poor
28,0.133638079,0.761031568,Poor
29,0.627331564,0.794396487,Poor
30,0.672940371,0.85583049,Poor
31,0.122156285,0.66371028,Poor
32,0.024371423,0.870596932,Poor
33,0.256174218,0.685631926,Poor
34,0.757438558,0.969752725,Poor
35,0.948983489,0.859973995,Poor
36,0.203871539,0.665354424,Poor
37,0.896841627,0.749863929,Poor
38,0.753107878,0.864452191,Poor
39,0.215211852,0.583689122,Poor
40,0.812757619,0.916077158,Poor
41,0.927547387,0.743915836,Poor
42,0.909148273,0.793464024,Poor
43,0.967769505,0.866552768,Poor
44,0.942533438,0.647409073,Poor
45,0.208548652,0.814488337,Poor
46,0.885728288,0.557101395,Poor
47,0.737725427,0.649561697,Poor
48,0.830716652,0.420961793,Poor
49,0.901388402,0.695413302,Poor
50,0.732972369,0.848099407,Poor
51,0.695588538,0.73093066,Poor
52,0.994720773,0.831315867,Poor
53,0.343528343,0.902326901,Poor
54,1,0.756747963,Poor
55,0.598103618,0.714247127,Poor
56,0.295943399,0.562759703,Poor
57,0.54580201,0.645097665,Poor
58,0.621641578,0.413160868,Poor
59,0.63714899,0.668209123,Poor
60,0.700475834,0.587539838,Poor
61,0.885368568,0.528390305,Poor
62,0.854938089,0.614712135,Poor
63,0.127771889,0.450250552,Poor
64,0.46039956,0.545764313,Poor
